"","county","GEOID","age_grp10","pop","pop_pct"
"108","Garfield","53023","80+",160,0.0712060525144637
"109","Grant","53025","0-9",15813,0.162466223505358
"110","Grant","53025","10-19",15471,0.1589524406407
"111","Grant","53025","20-29",13611,0.139842393482036
"112","Grant","53025","30-39",12172,0.125057792481327
"113","Grant","53025","40-49",10930,0.112297212604412
"114","Grant","53025","50-59",10747,0.110417030545253
"115","Grant","53025","60-69",9678,0.0994338905384718
"116","Grant","53025","70-79",5976,0.0613987321613874
"117","Grant","53025","80+",2933,0.0301342840410558
"118","Grays Harbor","53027","0-9",8243,0.111541115817107
"119","Grays Harbor","53027","10-19",8301,0.112325949581196
"120","Grays Harbor","53027","20-29",8189,0.110810408519506
"121","Grays Harbor","53027","30-39",8671,0.117332647731424
"122","Grays Harbor","53027","40-49",8371,0.113273162744753
"123","Grays Harbor","53027","50-59",10054,0.136046873519979
"124","Grays Harbor","53027","60-69",11722,0.158617610045872
"125","Grays Harbor","53027","70-79",7052,0.0954249604200214
"126","Grays Harbor","53027","80+",3298,0.0446272716201405
"127","Island","53029","0-9",9123,0.108015628699976
"128","Island","53029","10-19",7684,0.0909779777409425
"129","Island","53029","20-29",12282,0.145417949325124
"130","Island","53029","30-39",10338,0.122401136632726
"131","Island","53029","40-49",7763,0.0919133317546768
"132","Island","53029","50-59",10108,0.119677954061094
"133","Island","53029","60-69",13310,0.157589391427895
"134","Island","53029","70-79",9658,0.114349988160076
"135","Island","53029","80+",4194,0.0496566421974899
"136","Jefferson","53031","0-9",1993,0.0628131992814145
"137","Jefferson","53031","10-19",2180,0.0687068612310505
"138","Jefferson","53031","20-29",2388,0.0752623782659397
"139","Jefferson","53031","30-39",2824,0.0890037505121498
"140","Jefferson","53031","40-49",2840,0.0895080210532951
"141","Jefferson","53031","50-59",4266,0.134451133032872
"142","Jefferson","53031","60-69",7516,0.236881086703016
"143","Jefferson","53031","70-79",5574,0.175675249771502
"144","Jefferson","53031","80+",2148,0.0676983201487598
"145","King","53033","0-9",257888,0.115481046390255
"146","King","53033","10-19",242988,0.108808895723241
"147","King","53033","20-29",339482,0.152018459915376
"148","King","53033","30-39",383393,0.171681601387807
"149","King","53033","40-49",308318,0.138063365728341
"150","King","53033","50-59",279876,0.125327170475241
"151","King","53033","60-69",227746,0.101983599047629
"152","King","53033","70-79",123656,0.0553725814013576
"153","King","53033","80+",69816,0.0312632799307529
"154","Kitsap","53035","0-9",30843,0.11431589481292
"155","Kitsap","53035","10-19",29948,0.11099868423491
"156","Kitsap","53035","20-29",41468,0.153696187987621
"157","Kitsap","53035","30-39",36139,0.133944886121458
"158","Kitsap","53035","40-49",29901,0.110824484349808
"159","Kitsap","53035","50-59",34984,0.129664016604585
"160","Kitsap","53035","60-69",34993,0.129697374029392
"161","Kitsap","53035","70-79",21751,0.0806174829969793
"162","Kitsap","53035","80+",9778,0.0362409888623265
"163","Kittitas","53037","0-9",4478,0.0945443796976607
"164","Kittitas","53037","10-19",6190,0.130689975508825
"165","Kittitas","53037","20-29",10969,0.231589392787771
"166","Kittitas","53037","30-39",5081,0.107275567941897
"167","Kittitas","53037","40-49",4663,0.0984502998057596
"168","Kittitas","53037","50-59",5425,0.114538468034794
"169","Kittitas","53037","60-69",5587,0.117958787264589
"170","Kittitas","53037","70-79",3369,0.0711299721307322
"171","Kittitas","53037","80+",1602,0.0338231568279706
"172","Klickitat","53039","0-9",2255,0.102003890170534
"173","Klickitat","53039","10-19",2409,0.108970009499254
"174","Klickitat","53039","20-29",2046,0.0925498710815579
"175","Klickitat","53039","30-39",2461,0.111322205636224
"176","Klickitat","53039","40-49",2681,0.121273804677252
"177","Klickitat","53039","50-59",3052,0.138055819423712
"178","Klickitat","53039","60-69",3807,0.172207897950875
"179","Klickitat","53039","70-79",2386,0.107929615054055
"180","Klickitat","53039","80+",1010,0.0456868865065364
"181","Lewis","53041","0-9",9400,0.118084518365911
"182","Lewis","53041","10-19",9374,0.117757901612984
"183","Lewis","53041","20-29",9133,0.114730415557007
"184","Lewis","53041","30-39",9288,0.116677553891764
"185","Lewis","53041","40-49",9109,0.11442892316969
"186","Lewis","53041","50-59",10654,0.133837495603236
"187","Lewis","53041","60-69",11486,0.1442892316969
"188","Lewis","53041","70-79",7515,0.0944048037787046
"189","Lewis","53041","80+",3645,0.0457891563238028
"190","Lincoln","53043","0-9",1170,0.108938547486034
"191","Lincoln","53043","10-19",1375,0.128026070763501
"192","Lincoln","53043","20-29",899,0.0837057728119181
"193","Lincoln","53043","30-39",1042,0.0970204841713222
"194","Lincoln","53043","40-49",1137,0.105865921787709
"195","Lincoln","53043","50-59",1417,0.131936685288641
"196","Lincoln","53043","60-69",1823,0.169739292364991
"197","Lincoln","53043","70-79",1205,0.11219739292365
"198","Lincoln","53043","80+",672,0.0625698324022346
"199","Mason","53045","0-9",7012,0.10704199551193
"200","Mason","53045","10-19",6918,0.10560703436274
"201","Mason","53045","20-29",7495,0.114415253331705
"202","Mason","53045","30-39",7542,0.1151327339063
"203","Mason","53045","40-49",7061,0.107790007174806
"204","Mason","53045","50-59",8911,0.136031263834399
"205","Mason","53045","60-69",10817,0.165127390965851
"206","Mason","53045","70-79",6810,0.103958355595585
"207","Mason","53045","80+",2941,0.0448959653166837
"208","Okanogan","53047","0-9",5474,0.129924997626507
"209","Okanogan","53047","10-19",5156,0.122377290420583
"210","Okanogan","53047","20-29",4338,0.1029621190544
"211","Okanogan","53047","30-39",4755,0.112859584164056
"212","Okanogan","53047","40-49",4673,0.110913320041773
"213","Okanogan","53047","50-59",5211,0.123682711478211
"214","Okanogan","53047","60-69",6563,0.15577233456755
"215","Okanogan","53047","70-79",4071,0.0966248931928226
"216","Okanogan","53047","80+",1891,0.0448827494540966
"217","Pacific","53049","0-9",1856,0.0842258123071338
"218","Pacific","53049","10-19",1981,0.0898983481575604
"219","Pacific","53049","20-29",1926,0.0874024323833727
"220","Pacific","53049","30-39",2187,0.0992466872390634
"221","Pacific","53049","40-49",2068,0.0938464331094573
"222","Pacific","53049","50-59",2969,0.134734071519332
"223","Pacific","53049","60-69",4620,0.209656925031766
"224","Pacific","53049","70-79",3094,0.140406607369759
"225","Pacific","53049","80+",1335,0.0605826828825558
"226","Pend Oreille","53051","0-9",1356,0.0996912218791354
"227","Pend Oreille","53051","10-19",1562,0.114836053521541
"228","Pend Oreille","53051","20-29",1135,0.0834436112336421
"229","Pend Oreille","53051","30-39",1258,0.0924863990589619
"230","Pend Oreille","53051","40-49",1389,0.102117335685929
"231","Pend Oreille","53051","50-59",2034,0.149536832818703
"232","Pend Oreille","53051","60-69",2609,0.191810027937068
"233","Pend Oreille","53051","70-79",1631,0.119908836935745
"234","Pend Oreille","53051","80+",628,0.0461696809292751
"235","Pierce","53053","0-9",119169,0.133702607093691
"236","Pierce","53053","10-19",110329,0.123784498804554
"237","Pierce","53053","20-29",131431,0.14746005549204
"238","Pierce","53053","30-39",131423,0.14745107982843
"239","Pierce","53053","40-49",109626,0.122995762364818
"240","Pierce","53053","50-59",113276,0.127090908886917
"241","Pierce","53053","60-69",95480,0.107124545186296
"242","Pierce","53053","70-79",53438,0.0599551889994267
"243","Pierce","53053","80+",27127,0.0304353533438274
"244","San Juan","53055","0-9",1097,0.0640471742176553
"245","San Juan","53055","10-19",1362,0.0795189163942083
"246","San Juan","53055","20-29",1295,0.0756071929005138
"247","San Juan","53055","30-39",1598,0.0932975245212518
"248","San Juan","53055","40-49",1672,0.0976179355441383
"249","San Juan","53055","50-59",2449,0.142982251284447
"250","San Juan","53055","60-69",3829,0.223552078468006
"251","San Juan","53055","70-79",2758,0.161022886501635
"252","San Juan","53055","80+",1068,0.0623540401681457
"253","Skagit","53057","0-9",15564,0.121398374491053
"254","Skagit","53057","10-19",15106,0.117825998783208
"255","Skagit","53057","20-29",15481,0.120750978893344
"256","Skagit","53057","30-39",15842,0.123566759746034
"257","Skagit","53057","40-49",14343,0.111874639252453
"258","Skagit","53057","50-59",16112,0.125672745425331
"259","Skagit","53057","60-69",17928,0.139837449105346
"260","Skagit","53057","70-79",11847,0.0924059716393928
"261","Skagit","53057","80+",5983,0.0466670826638379
"262","Skamania","53059","0-9",1135,0.0951861791345186
"263","Skamania","53059","10-19",1305,0.109443139885944
"264","Skamania","53059","20-29",1118,0.0937604830593761
"265","Skamania","53059","30-39",1323,0.110952700436095
"266","Skamania","53059","40-49",1503,0.126048305937605
"267","Skamania","53059","50-59",1876,0.157329755115733
"268","Skamania","53059","60-69",2042,0.171251257967125
"269","Skamania","53059","70-79",1109,0.0930057027843006
"270","Skamania","53059","80+",513,0.0430224756793023
"271","Snohomish","53061","0-9",103059,0.126468123121704
"272","Snohomish","53061","10-19",98197,0.120501754200817
"273","Snohomish","53061","20-29",105607,0.129594883304843
"274","Snohomish","53061","30-39",124712,0.153039448963739
"275","Snohomish","53061","40-49",109302,0.134129176427566
"276","Snohomish","53061","50-59",112867,0.138503940969517
"277","Snohomish","53061","60-69",91089,0.111779222261354
"278","Snohomish","53061","70-79",46674,0.0572756690690035
"279","Snohomish","53061","80+",23394,0.0287077816814558
"280","Spokane","53063","0-9",62979,0.122377004105854
"281","Spokane","53063","10-19",64590,0.125507402391228
"282","Spokane","53063","20-29",75141,0.14600947086359
"283","Spokane","53063","30-39",70651,0.137284772973257
